id,fixed_acidity,volatile_acidity,residual_sugar,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,alcohol,quality
54,7.1,0.18,1.4,31,87,0.9898,3.26,12.7,7
55,7,0.32,1.3,20,69,0.9912,3.31,12,7
56,6.9,0.24,1.7,47,136,0.99,3.26,12.6,7
57,6.9,0.21,1.8,48,136,0.9899,3.25,12.6,7
58,7.5,0.17,1.7,51,148,0.9916,3.21,11.5,7
59,8.6,0.265,1.2,15,80,0.9913,2.95,11.4,7
60,6.5,0.24,7.6,48,203,0.9958,3.45,9.7,7
61,6.1,0.3,2.8,47,179,0.9924,3.3,10.9,7
62,6.5,0.24,7.6,48,203,0.9958,3.45,9.7,7
63,6.8,0.19,1.9,30,96,0.9917,3.15,10.8,7
64,6.3,0.34,4.6,19,80,0.9917,3.38,12,7
65,7.9,0.22,8,46,152,0.9934,3.12,11.5,7
66,6.1,0.32,1.5,38,124,0.9898,3.29,12.4,7
67,6.1,0.32,1.5,38,124,0.9898,3.29,12.4,7
68,6.7,0.46,2.4,25,98,0.9896,3.08,12.6,7
69,6.3,0.22,4.55,31,130,0.9918,3.35,11.5,7
70,6.8,0.18,1.4,35,111,0.9918,3.32,11.2,7
71,6.2,0.25,1.4,35,105,0.9912,3.3,11.1,7
72,6.2,0.25,1.4,35,105,0.9912,3.3,11.1,7
73,7,0.26,1.4,40,120,0.9918,3.34,11.1,7
74,7.1,0.21,2.4,23,100,0.9903,3.15,11.4,7
75,6.8,0.21,2.1,26,139,0.99,3.16,12.6,7
76,5.8,0.2,1.4,12,77,0.9905,3.25,10.9,7
77,5.6,0.19,1.4,12,76,0.9905,3.25,10.9,7
78,6.3,0.35,5.7,8,97,0.9927,3.27,11,7
79,6.3,0.35,5.7,8,97,0.9927,3.27,11,7
80,7,0.3,4.7,17,105,0.9916,3.26,12.4,7
81,7.2,0.23,14.2,49,192,0.9979,2.98,9,7
82,7.2,0.23,14.2,49,192,0.9979,2.98,9,7
83,7.2,0.23,14.2,49,192,0.9979,2.98,9,7
84,7.2,0.23,14.2,49,192,0.9979,2.98,9,7
85,6.2,0.28,7.3,26,157,0.9957,3.44,9.8,7
86,7,0.27,20.7,45,170,1.001,3,8.8,6
87,6.3,0.3,1.6,14,132,0.994,3.3,9.5,6
88,8.1,0.28,6.9,30,97,0.9951,3.26,10.1,6
89,7.2,0.23,8.5,47,186,0.9956,3.19,9.9,6
90,7.2,0.23,8.5,47,186,0.9956,3.19,9.9,6
91,8.1,0.28,6.9,30,97,0.9951,3.26,10.1,6
92,6.2,0.32,7,30,136,0.9949,3.18,9.6,6
93,7,0.27,20.7,45,170,1.001,3,8.8,6
94,6.3,0.3,1.6,14,132,0.994,3.3,9.5,6
95,8.1,0.22,1.5,28,129,0.9938,3.22,11,6
96,6.3,0.48,1.1,30,99,0.9928,3.24,9.6,6
97,7.4,0.34,1.1,17,171,0.9917,3.12,11.3,6
98,6.6,0.27,1.3,16,142,0.9951,3.42,10,6
99,7,0.25,9,56,245,0.9955,3.25,10.4,6
100,6.9,0.24,1,35,146,0.993,3.45,10,6
101,7,0.28,8.7,32,141,0.9961,3.38,10.5,6
102,7.4,0.27,1.1,17,132,0.9914,3.19,11.6,6
103,8.5,0.24,10.4,20,142,0.9974,3.2,10,6
104,8.3,0.14,1.1,7,47,0.9934,3.47,10.2,6
105,7.4,0.25,2.05,31,100,0.992,3.19,10.8,6
106,6.2,0.12,1.5,43,117,0.9939,3.42,9,6
107,7,0.33,1.2,38,138,0.9906,3.13,11.2,6
108,6.7,0.23,2.5,63,158,0.9937,3.11,9.4,6
109,6.7,0.24,2.9,63,157,0.9937,3.1,9.4,6
110,7,0.31,7.4,28,160,0.9954,3.13,9.8,6
111,6.6,0.24,1.4,33,152,0.9934,3.22,9.5,6
112,6.7,0.23,1.4,33,154,0.9934,3.24,9.5,6
113,7,0.31,7.4,28,160,0.9954,3.13,9.8,6
114,7.2,0.19,1.6,31,173,0.9917,3.35,11.7,6
115,6.4,0.18,1,39,108,0.9911,3.31,10.9,6
116,6.8,0.2,0.9,38,132,0.993,3.05,9.1,6
117,6.9,0.25,1.3,29,191,0.9908,3.13,11,6
118,7.2,0.21,11.9,37,213,0.9962,3.09,9.6,6
119,6,0.19,12.4,50,147,0.9972,3.3,8.9,6
120,6.6,0.38,4.6,25,78,0.9931,3.11,10.2,6
121,7.4,0.2,1.2,44,111,0.9926,3.36,9.9,6
122,6.8,0.22,4.9,30,123,0.9951,3.03,8.6,6
123,6,0.19,12.4,50,147,0.9972,3.3,8.9,6
124,6.6,0.38,4.6,25,78,0.9931,3.11,10.2,6
125,7.2,0.24,1.4,31,122,0.9927,3.15,10.3,6
126,8.1,0.27,1.45,11,63,0.9908,2.99,12,5
127,8.6,0.23,4.2,17,109,0.9947,3.14,9.7,5
128,7.9,0.18,1.2,16,75,0.992,3.18,10.8,5
129,8.3,0.42,19.25,41,172,1.0002,2.98,9.7,5
130,6.5,0.31,7.5,34,133,0.9955,3.22,9.5,5
131,7.6,0.67,1.5,25,168,0.9937,3.05,9.3,5
132,5.8,0.27,14.95,22,179,0.9962,3.37,10.2,5
133,7.3,0.28,1.7,21,123,0.9905,3.19,12.8,5
134,6.5,0.39,5.4,25,149,0.9934,3.24,10,5
135,7.3,0.24,17.95,45,149,0.9999,3.21,8.6,5
136,7.3,0.24,17.95,45,149,0.9999,3.21,8.6,5
137,6.2,0.46,4.4,62,207,0.9939,3.25,9.8,5
138,6.9,0.19,5,32,150,0.995,3.36,9.8,5
139,7,0.47,1.1,17,151,0.991,3.02,10.5,5
140,6.2,0.35,1.2,29,120,0.9934,3.22,9.1,5
141,6.7,0.25,1.2,81,174,0.992,3.14,9.8,5
142,7.4,0.24,10.1,21,105,0.9962,3.13,9.5,5
143,6.8,0.3,4.6,50.5,238.5,0.9958,3.32,9.5,5
144,6,0.27,4.8,31,201,0.9964,3.69,10,5
145,7.4,0.24,10.1,21,105,0.9962,3.13,9.5,5
146,7.4,0.18,8.8,26,103,0.9961,2.94,9.3,5
147,6.7,0.54,5.4,21,105,0.9949,3.27,9,5
148,7.1,0.34,6.1,47,164,0.9946,3.17,10,5
149,7.1,0.43,11.8,54,155,0.9974,3.11,8.7,5
150,7.1,0.43,11.8,54,155,0.9974,3.11,8.7,5
151,6.1,0.27,7.5,65,243,0.9957,3.12,9,5
152,7.4,0.25,13.5,52,192,0.9975,3,9.1,5
153,7.1,0.12,9.6,64,162,0.9962,3.4,9.4,5
154,6,0.21,12.1,55,164,0.997,3.34,9.4,5
155,7.5,0.305,18.9,44,170,1,2.99,9,5
156,7.4,0.25,13.5,52,192,0.9975,3,9.1,5
157,7.1,0.12,9.6,64,162,0.9962,3.4,9.4,5
158,6.9,0.33,1.3,37,187,0.9927,3.27,10.3,5
159,7.2,0.27,18.75,45,255,1,3.04,8.9,5
160,7.2,0.31,13.3,68,195,0.9982,3.01,9.2,5
161,6.7,0.41,9.2,29,150,0.9968,3.22,9.1,5
162,6.7,0.41,9.2,29,150,0.9968,3.22,9.1,5
163,7.2,0.31,13.3,68,195,0.9982,3.01,9.2,5
164,7.3,0.32,13.3,57,196,0.9982,3.04,9.2,5
165,5.9,0.36,5.7,21,87,0.9934,3.22,10.2,5
166,6.2,0.45,4.4,63,206,0.994,3.27,9.8,4
167,9.8,0.36,10.5,4,83,0.9956,2.89,10.1,4
168,5.5,0.485,1.5,8,103,0.994,3.63,9.7,4
169,6.4,0.595,5.2,15,97,0.9951,3.38,9,4
170,7.6,0.48,0.8,4,100,0.9902,3.03,11.4,4
171,7.2,0.32,5.1,19,65,0.991,3.03,12.6,4
172,6,0.67,1.2,9,108,0.9931,3.11,8.7,4
173,6.5,0.28,8.5,54,210,0.9962,3.09,8.9,4
174,5.8,0.28,2.3,36,114,0.9924,3.28,10.2,4
175,10.2,0.44,6.2,20,124,0.9968,2.99,9.9,4
176,6.8,0.64,9.7,26,142,0.9972,3.37,8.9,4
177,5.9,0.21,4.6,40,199,0.9964,3.72,10,4
178,5.8,0.36,0.9,3,75,0.9904,3.28,11.4,4
179,6.8,0.32,1.2,14,67,0.9919,3.05,10.6,4
180,6.8,0.44,5.1,46,201,0.9938,3.08,10.5,4
181,7.2,0.55,1.5,16,151,0.9938,3.07,9.2,4
182,7.2,0.4,10.8,70,189,0.9976,3.08,8.6,4
183,7.2,0.4,10.8,70,189,0.9976,3.08,8.6,4
184,7.2,0.31,5,3,29,0.9906,3.04,12.5,4
185,6.7,0.31,9.9,10,175,0.9953,3.46,11.4,4
186,7.6,0.56,10.4,22,177,0.9983,3.32,9.1,4
187,6.1,0.28,12.9,34,189,0.9979,3.25,9,4
188,6.5,0.33,1.1,7,151,0.993,3.09,9.5,4
189,6.8,0.29,1.4,122.5,234.5,0.9922,3.15,10,4
190,7,0.57,8.3,23,188,0.9972,3.4,9.2,4
191,6.8,0.67,13,22,193,0.9984,3.08,9,4
192,6.9,0.2,1.9,25,136,0.9935,3.31,10.1,4
193,6.6,0.38,1.2,20,84,0.9927,3.22,10.1,4
194,6,0.395,1.4,7,55,0.99135,3.37,11.2,4
195,7.4,0.17,5.5,34,161,0.9935,3.05,11.5,4
196,8.4,0.19,1.6,9,101,0.994,3.06,11.1,4
197,8.3,0.27,1.3,8,72,0.9944,3.08,10.3,4
198,8,0.23,9.6,23,159,0.99795,3.32,9.8,4
199,8,0.32,1.2,11.5,88,0.9946,3.24,9.5,4
200,6.8,0.705,3.2,10,57,0.996,3.36,9.5,4
201,8.2,0.26,1.3,7,69,0.9944,3.14,10.2,4
202,7,0.24,1.3,9,62,0.994,3.38,10.1,4
203,8,0.55,8.2,13,60,0.9956,3.09,9.5,4
204,6.3,0.6,11,50,245,0.9972,3.19,9.3,4
205,8.2,0.68,2.1,17,138,0.995,3.22,10.8,4
206,8.5,0.26,16.2,41,197,0.998,3.02,9.8,3
207,5.8,0.24,3.5,5,109,0.9913,3.53,11.7,3
208,9.1,0.59,1.6,34,182,0.9968,3.23,8.5,3
209,7.1,0.32,11,16,66,0.9937,3.24,11.5,3
210,6.9,0.39,4.6,5,19,0.9915,3.31,12.6,3
211,10.3,0.17,1.4,5,33,0.9939,2.89,9.6,3
212,7.9,0.64,10.6,33,227,0.9983,2.87,9.1,3
213,8.3,0.33,1.15,18,96,0.9911,3.2,12.4,3
214,8.6,0.55,15.55,35.5,366.5,1.0001,3.04,11,3
215,7.5,0.32,4.6,8,134,0.9958,3.14,9.1,3
216,6.7,0.25,1.55,118.5,216,0.9949,3.55,9.4,3
217,7.1,0.49,2,146.5,307.5,0.9924,3.24,11,3
218,11.8,0.23,11.1,15,123,0.9997,2.93,9.7,3
219,7.6,0.48,1.2,5,57,0.99256,3.05,10.4,3
220,6.1,0.2,9.5,38,201,0.995,3.14,10.1,3
221,4.2,0.215,5.1,64,157,0.99688,3.42,8,3
222,9.4,0.24,8.5,124,208,0.99395,2.9,11,3
223,6.2,0.23,0.7,24,111,0.9916,3.37,11,3
224,6.8,0.26,15.1,42,162,0.99705,3.24,10.5,3
225,6.1,0.26,2.9,289,440,0.99314,3.44,10.5,3
